FirstName,LastName,GroupName,AlbumTitle,Genre,Format
null,null,Living Voices,The Little Drummer Boy,Christmas,Record
null,null,null,Frosty The Snowman,Christmas,Record
Michael,Jackson,null,Thriller,Combination,Record
null,null,Alabama,My Home's In Alabama,Country,Record
null,null,Oak Ridge Boys,Greatest Hits 2,Country,Record
null,null,The Lovin' Spoonful,Hums Of The Lovin' Spoonful,Rock,Record
Hank,Williams,null,A Vocal Tribute To Hank Williams Great Country & Western Hits,Country,Record
Johnny,Williams,and the Playboys,The Era Of Hank Williams ,Country,Record
null,null,null,Godspell,Musical,Record
null,null,Simon & Garfunkel,The Graduate Original Sound Track Recording,Folk Pop,Record
Jo Ann,Campbell,null,All The Hits,Pop,Record
Elvis,Presley,null,"Elvis In Person At The International Hotel Las Vegas, Nevada",Combination,Record
Elvis,Presley,null,On Stage February 1970,Combination,Record
Elvis,Presley,null,Roustabout The Original Soundtrack Album,Combination,Record
null,null,null,Current Hits Vol. No. 17,Rock,Record
null,null,Simon & Garfunkel,Bookends,Folk Pop,Record
null,null,The Righteous Brothers,Greatest Hits,Rock,Record
Del,Shannon,null,The Best Of Del Shannon,Rock,Record
null,null,The 4 Seasons,At The Hop Starring the Four Seasons Also Starring Charlie Francis-Barbara Brown-The Buggs,Rock,Record
null,null,The Cars,The Cars,Rock,Record
Paul,Revere,& The Raiders,Greatest Hits,Rock,Record
Gary,Lewis,& The Playboys,Golden Greats,Rock,Record
null,null,The Young Rascals,The Young Rascals,Rock,Record
null,null,null,Walt Disney's Mary Poppins Original Cast Sound Track,Musical,Record
Trini,Lopez,null,The Folk Album,Combination,Record
Jim,Croce,null,The Faces I've Been,Rock,Record
Petula,Clark,null,I Know A Place,Pop,Record
Shaun,Cassidy,null,Born Late,Pop,Record
null,null,null,24 Original Happening Hits,Rock,Record
Paul,Brandt,null,That's The Truth,Country,CD
Jim,Brickman,null,By Heart/Piano Solos,New Age,CD
Garth,Brooks,null,The Ultimate Hits-3 Disk Set,Country,CD
null,null,null,The Ultimate Collection,Combination,CD
Etta,James,null,The Best Of Etta James 20th Century Masters The Millennium Collection,R&B/Soul,CD
Buddy,Jewel,null,Buddy Jewel,Country,CD
Elton,John,null,Elton John Live In Australia (With The Melbourne Symphony Orchestra),Combination,CD
Sarah,Johns,null,Big Love In A Small Town,Country,CD
Carolyn Dawn,Johnson,null,Dress Rehearsal,Country,CD
Norah,Jones,null,Come Away With Me,Jazz,CD
Janis,Joplin,null,Greatest Hits,Rock,CD
null,null,Journey,Greatest Hits,Rock,CD
Wynonna,Judd,null,Collection,Country,CD
Michael,Bublé,null,Call Me Irresponsible,Pop,CD
Sarah,Buxton,null,Sarah Buxton,Country,CD
Colbie,Caillat,null,Coco,Folk Pop,CD
Mariah,Carey,null,Music Box,Pop,CD
Mary Chapin,Carpenter,null,Come On Come On,Country,CD
Deana,Carter,null,The Deana Carter Collection,Country,CD
null,null,Carter's Chord,Wild Together,Country,CD
Cher,null,null,Believe,Euro Disco,CD
Toby,Keith,null,How Do You Like Me Now?!,Country,CD
Kenny,G,null,Breathless,Jazz,CD
Alicia,Keys,null,Songs In A Minor,R&B/Soul,CD
null,null,The Kinleys,All In The Family,Country,CD
Jonny,Lang,null,Wander This World,Blues,CD
Marit,Larsen,null,If A Song Could Get Me You,Pop,CD
Kenny,Chesney,null,Everywhere We Go,Country,CD
null,null,Chicago,Greatest Hits 1982-1989,Rock,CD
null,null,The Chordettes,25 All-Time Greatest Recordings,Pop,CD
Claudia,Church,null,Claudia Church,Country,CD
Eric,Clapton,null,Unplugged,Combination,CD
Terri,Clark,null,Just The Same,Country,CD
Kelly,Clarkson,null,Before Your Love/A Moment Like This,Pop,CD
Cyndi,Lauper,null,Twelve Deadly Cync…And Then Some,Pop,CD
Avril,Lavigne,null,The Best Damn Thing,Rock,CD
Joey,Lawrence,null,Joey Lawrence,Pop,CD
null,null,Little Big Town,Little Big Town,Country,CD
Lisa,Loeb,,Cake And Pie,Combination,CD
null,null,Lonestar,Lonestar,Country,CD
Jennifer,Lopez,null,jLo,Pop,CD
null,null,The Lynns,The Lynns,Country,CD
Kelly,Clarkson,null,Breakaway,Pop,CD
Patsy,Cline,null,12 Greatest Hits,Country,CD
Tammy,Cochran,null,Tammy Cochran,Country,CD
Marc,Cohn,null,Marc Cohn,Rock,CD
null,null,Colón,The Groove Machine,Combination,CD
null,null,Color Me Badd,Now & Forever,Pop,CD
David,Cook,null,David Cook,Rock,CD
Sam,Cooke,null,Greatest Hits,R&B/Soul,CD
Jim,Croce,null,Time In A Bottle-All Time Favorites By Jim Croce,Folk,CD
Victor,Manuelle,null,Ironias,Salsa,CD
null,null,Maroon 5,Songs About Jane,Rock,CD
Ricky,Martin,null,Vuelve,Latin Pop,CD
Bob,Marley,& The Wailers,Legend,Reggae,CD
Amanda,Marshall,null,Amanda Marshall,R&B/Soul,CD
null,null,Marshall Dillon,Enjoy The Ride,Country,CD
null,null,The Marvelettes,The Best Of The Marvelettes-20th Century Masters The Millennium Collection,R&B/Soul,CD
Richard,Marx,null,Richard Marx,Rock,CD
Mila,Mason,null,That's Enough Of That,Country,CD
Billy Ray,Cyrus,null,Some Gave All,Country,CD
null,null,Dan + Shay,Where It All Began,Country,CD
Linda,Davis,null,I'm Yours,Country,CD
Jennifer,Day,null,The Fun Of Your Love,Country,CD
Taylor,Dayne,null,Greatest Hits,Pop,CD
null,null,Destiny's Child,Destiny Fulfilled,R&B/Soul,CD
Neil,Diamond,null,His 12 Greatest Hits,Soft Rock,CD
null,null,Diamond Rio,Greatest Hits,Country,CD
Celine,Dion,null,Falling Into You,Pop,CD
null,null,Dixie Chicks,Home,Country,CD
null,null,Matchbox 20,Yourself Or Someone Like You,Alternative Rock,CD
John,Mayer,null,Heavier Things,Combination,CD
Martina,McBride,null,Emotion,Country,CD
Lila,McCann,null,Complete,Country,CD
Neil,McCoy,null,Greatest Hits,Country,CD
Mindy,McCready,null,Mindy McCready,Country,CD
null,null,Dream,It Was All A Dream,Pop,CD
nun,null,Duffy,Rockferry,Combination,CD
null,null,Eden's Crush,Popstars,Combination,CD
null,null,Emerson Drive,Emerson Drive,Country,CD
null,null,En Vogue,Remix To Sing,R&B/Soul,CD
Melissa,Etheridge,null,Yes I Am,Heartland Rock,CD
Shelley,Fabares,null,Shelley!-The Things We Did Last Summer,Pop,CD
Fergie,null,null,The Dutchess,Hip Hop,CD
Ella,Fitzgerald,null,Ken Burns Jazz,Jazz,CD
null,null,Five For Fighting,The Battle Of Everything,Alternative Rock,CD
null,null,The Foundations,Build Me Up Buttercup,Rock,CD
Reba,McEntire,null,Starting Over,Country,CD
Brian,McKnight,null,Back At One,R&B/Soul,CD
Meatloaf,null,null,Bat Out Of Hell II: Back Into Hell,Rock,CD
Melanie,null,null,The Encore Collection,Folk,CD
